Ht Wt ratio	Home Runs	Ht Wt ratio (bin)	Number of Records	Bat Avg	Handedness	Height	Name	Weight
0.45	7	0.45	1	0.219	B	72	Al Weis	160
0.4	90	0.4	1	0.245	B	74	Alan Ashby	185
0.4625	5	0.46	1	0.259	B	74	Alan Wiggins	160
0.458064516	5	0.45	1	0.251	B	71	Albert Hall	155
0.4	0	0.4	1	0	B	70	Barry Raziano	175
0.384210526	0	0.38	1	0	B	73	Bert Bradley	190
0.4	21	0.4	1	0.257	B	70	Biff Pocoroba	175
0.384210526	59	0.38	1	0.234	B	73	Bill Sudakis	190
0.383783784	20	0.38	1	0.261	B	71	Billy North	185
0.4	17	0.4	1	0.23	B	74	Billy Smith	185
0.378947368	0	0.37	1	0.229	B	72	Bob Didier	190
0.417142857	8	0.41	1	0.236	B	73	Bob Meacham	175
0.394444444	33	0.39	1	0.25	B	71	Bob Stinson	180
0.367924528	0	0.36	1	0.114	B	78	Bob Veale	212
0.389473684	26	0.38	1	0.245	B	74	Bobby Brown	190
0.4375	3	0.43	1	0.245	B	70	Bryan Little	160
0.389473684	31	0.38	1	0.232	B	74	Buck Rodgers	190
0.44375	7	0.44	1	0.236	B	71	Bud Harrelson	160
0.44375	6	0.44	1	0.205	B	71	Buddy Biancalana	160
0.401162791	36	0.4	1	0.266	B	69	Bump Wills	172
0.384210526	65	0.38	1	0.255	B	73	Butch Wynegar	190
0.426035503	2	0.42	1	0.24	B	72	Chico Ruiz	169
0.369230769	27	0.36	1	0.227	B	72	Chris Bando	195
0.374358974	0	0.37	1	0	B	73	Chuck Hockenbery	195
0.393617021	14	0.39	1	0.217	B	74	Darrel Chaney	188
0.391304348	1	0.39	1	0.274	B	72	Darrell Brown	184
0.405714286	32	0.4	1	0.272	B	71	Dave Collins	175
0.374358974	21	0.37	1	0.229	B	73	Dave McKay	195
0.45	43	0.45	1	0.249	B	72	Derrel Thomas	160
0.41875	93	0.41	1	0.264	B	67	Don Buford	160
0.429411765	14	0.42	1	0.252	B	73	Don Kessinger	170
0.438709677	0	0.43	1	0.125	B	68	Fred Norman	155
0.389189189	2	0.38	1	0.159	B	72	Fritz Peterson	185
0.384615385	0	0.38	1	0	B	75	Gary Lance	195
0.404371585	15	0.4	1	0.229	B	74	Gene Michael	183
0.394444444	42	0.39	1	0.245	B	71	George Wright	180
0.405882353	27	0.4	1	0.256	B	69	Horace Clarke	170
0.405405405	0	0.4	1	0	B	75	Jeff Barkley	185
0.384615385	0	0.38	1	0	B	75	Jeff Schneider	195
0.411764706	30	0.41	1	0.258	B	70	Jerry Hairston	170
0.4	70	0.4	1	0.289	B	74	Jerry Mumphrey	185
0.426829268	21	0.42	1	0.253	B	70	Jerry White	164
0.4	74	0.4	1	0.251	B	72	Jim Lefebvre	180
0.436363636	8	0.43	1	0.237	B	72	Jimmy Stewart	165
0.423529412	5	0.42	1	0.127	B	72	Joaquin Andujar	170
0.389189189	4	0.38	1	0.216	B	72	Joe Lovitto	185
0.394444444	16	0.39	1	0.244	B	71	Joe Wallis	180
0.411428571	0	0.41	1	0	B	72	John Bohnet	175
0.417647059	53	0.41	1	0.29	B	71	Johnny Ray	170
0.418181818	23	0.41	1	0.237	B	69	Julio Cruz	165
0.411111111	122	0.41	1	0.257	B	74	Ken Henderson	180
0.361904762	246	0.36	1	0.282	B	76	Ken Singleton	210
0.405714286	0	0.4	1	0	B	71	Lafayette Currence	175
0.451612903	15	0.45	1	0.26	B	70	Larry Bowa	155
0.46	0	0.46	1	0.227	B	69	Larry Lintz	150
0.447204969	11	0.44	1	0.254	B	72	Larry Milbourne	161
0.405555556	93	0.4	1	0.259	B	73	Lee Mazzilli	180
0.414201183	27	0.41	1	0.257	B	70	Len Randle	169
0.43125	3	0.43	1	0.242	B	69	Manny Castillo	160
0.389473684	0	0.38	1	0	B	74	Mark Brown	190
0.423529412	0	0.42	1	0.243	B	72	Marty Martinez	170
0.429411765	0	0.42	1	0.11	B	73	Mickey Lolich	170
0.45	6	0.45	1	0.265	B	72	Miguel Dilone	160
0.429411765	2	0.42	1	0.24	B	73	Mike Ramsey	170
0.379487179	72	0.37	1	0.247	B	74	Mike Young	195
0.383419689	0	0.38	1	0	B	74	Nardi Contreras	193
0.4	29	0.4	1	0.236	B	72	Paul Householder	180
0.411428571	14	0.41	1	0.233	B	72	Paul Popovich	175
0.379487179	0	0.37	1	0	B	74	Pete Filson	195
0.369791667	160	0.36	1	0.303	B	71	Pete Rose	192
0.378947368	35	0.37	1	0.267	B	72	R.J. Reynolds	190
0.424242424	4	0.42	1	0.237	B	70	Rafael Landestoy	165
0.394594595	0	0.39	1	0	B	73	Randy Scarbery	185
0.411111111	0	0.41	1	0	B	74	Ray Chadwick	180
0.4	314	0.4	1	0.287	B	72	Reggie Smith	180
0.405555556	13	0.4	1	0.263	B	73	Richie Scheinblum	180
0.405882353	2	0.4	1	0.277	B	69	Rick Peters	170
0.365	6	0.36	1	0.234	B	73	Rick Sweet	200
0.45	3	0.45	1	0.236	B	72	Rodney Scott	160
0.436363636	5	0.43	1	0.231	B	72	Roger Metzger	165
0.4	42	0.4	1	0.265	B	74	Ron Oester	185
0.4	17	0.4	1	0.238	B	72	Ron Roenicke	180
0.394594595	163	0.39	1	0.257	B	73	Roy Smalley	185
0.4375	160	0.43	1	0.271	B	70	Roy White	160
0.4	35	0.4	1	0.212	B	70	Rusty Torres	175
0.492857143	13	0.49	1	0.245	B	69	Sandy Alomar	140
0.37	0	0.37	1	0	B	74	Steve Burke	200
0.37	0	0.37	1	0	B	74	Steve Cummings	200
0.357843137	16	0.35	1	0.206	B	73	Steve Huntz	204
0.394444444	5	0.39	1	0.21	B	71	Steve Jeltz	180
0.389189189	24	0.38	1	0.274	B	72	Steve Ontiveros	185
0.411428571	13	0.41	1	0.231	B	72	Ted Kubiak	175
0.367875648	248	0.36	1	0.285	B	71	Ted Simmons	193
0.417647059	6	0.41	1	0.228	B	71	Tim Blackwell	170
0.405714286	45	0.4	1	0.268	B	71	Tito Fuentes	175
0.405555556	153	0.4	1	0.245	B	73	Tom Tresh	180
0.43902439	17	0.43	1	0.249	B	72	Tony Scott	164
0.405714286	27	0.4	1	0.251	B	71	U L Washington	175
0.43030303	13	0.43	1	0.217	B	71	Vic Harris	165
0.380952381	4	0.38	1	0.104	B	72	Vida Blue	189
0.416184971	5	0.41	1	0.255	B	72	Wallace Johnson	173
0.43125	9	0.43	1	0.241	B	69	Wayne Tolleson	160
0.405555556	64	0.4	1	0.267	B	73	Wes Parker	180
0.435294118	6	0.43	1	0.25	B	74	Wilbur Howard	170
0.4	54	0.4	1	0.281	L	68	Al Bumbry	170
0.4	33	0.4	1	0.235	L	70	Al Luplow	175
0.369230769	219	0.36	1	0.303	L	72	Al Oliver	195
0.394736842	35	0.39	1	0.271	L	75	Al Woods	190
0.418181818	0	0.41	1	0	L	69	Angel Moreno	165
0.43452381	68	0.43	1	0.253	L	73	Art Shamsky	168
0.389473684	63	0.38	1	0.299	L	74	Bake McBride	190
0.4625	235	0.46	1	0.273	L	74	Ben Oglivie	160
0.411428571	73	0.41	1	0.239	L	72	Bernie Allen	175
0.410404624	96	0.41	1	0.264	L	71	Bernie Carbo	173
0.389189189	174	0.38	1	0.289	L	72	Bill Buckner	185
0.36	7	0.36	1	0.241	L	72	Bill Fahey	200
0.393258427	9	0.39	1	0.255	L	70	Bill Sharp	178
0.4625	19	0.46	1	0.227	L	74	Bill Voss	160
0.38	41	0.38	1	0.216	L	76	Billy Bryan	200
0.408045977	13	0.4	1	0.224	L	71	Bob Burda	174
0.37755102	24	0.37	1	0.261	L	74	Bob Chance	196
0.375	0	0.37	1	0	L	75	Bob Fallon	200
0.356097561	0	0.35	1	0	L	73	Bob Galasso	205
0.379487179	20	0.37	1	0.221	L	74	Bob Jones	195
0.384615385	6	0.38	1	0.137	L	75	Bob Knepper	195
